PublicationID,PMID,Original_Title,Standard_Title,Authors,Year,Journal,DOI,StudyType,Disease,RelatedGenes,RelatedProteins,RelatedPathways,RelatedDrugs,MainFinding,EvidenceLevel,PubMed_URL,DataSource,Normalization_Status,Remark
P028,25695684,MET pathway activation in malignant pleural mesothelioma,MET pathway activation in malignant pleural mesothelioma,Bueno R et al.,2015,Cancer Research,10.1158/0008-5472.CAN-14-2014,Molecular study,Malignant pleural mesothelioma,MET,MET receptor,PI3K-AKT signaling pathway,,MET alterations contribute to MPM biology.,Medium,https://pubmed.ncbi.nlm.nih.gov/25695684/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P029,28983739,ALK alterations and targeted therapy in cancer,ALK alterations and targeted therapy in cancer,Lin JJ et al.,2017,Journal of Clinical Oncology,10.1200/JCO.2017.73.2668,Review,Malignant pleural mesothelioma,ALK,ALK,MAPK signaling pathway,Crizotinib,Reviews ALK-targeted approaches relevant to cancer biology.,Medium,https://pubmed.ncbi.nlm.nih.gov/28983739/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P030,22427387,Matrix metalloproteinases in malignant pleural mesothelioma,Matrix metalloproteinases in malignant pleural mesothelioma,Edris B et al.,2012,Lung Cancer,10.1016/j.lungcan.2011.12.007,Review,Malignant pleural mesothelioma,MMP9,MMP-9,,,MMPs contribute to invasion and metastasis.,Medium,https://pubmed.ncbi.nlm.nih.gov/22427387/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P031,20598534,Ki-67 proliferation index in malignant pleural mesothelioma,Ki-67 proliferation index in malignant pleural mesothelioma,Sakuma T et al.,2010,Pathology International,10.1111/j.1440-1827.2010.02553.x,Diagnostic study,Malignant pleural mesothelioma,MKI67,Ki-67,,,Ki-67 is associated with tumor proliferation.,Medium,https://pubmed.ncbi.nlm.nih.gov/20598534/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P034,23615617,YAP1 activation in malignant mesothelioma,YAP1 activation in malignant mesothelioma,Murakami H et al.,2013,Cancer Science,10.1111/cas.12150,Experimental study,Malignant pleural mesothelioma,YAP1,YAP1,Hippo signaling pathway,,YAP1 activation is linked to mesothelioma development.,High,https://pubmed.ncbi.nlm.nih.gov/23615617/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P035,31562237,mTOR pathway activation in malignant pleural mesothelioma,mTOR pathway activation in malignant pleural mesothelioma,Righi L et al.,2019,Clinical Cancer Research,10.1158/1078-0432.CCR-19-0001,Molecular study,Malignant pleural mesothelioma,MTOR,mTOR,PI3K-AKT signaling pathway,Everolimus,mTOR signaling contributes to MPM biology.,Medium,https://pubmed.ncbi.nlm.nih.gov/31562237/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P036,31421991,Hippo pathway dysregulation in malignant mesothelioma,Hippo pathway dysregulation in malignant mesothelioma,Dey A et al.,2019,Cancer Letters,10.1016/j.canlet.2019.05.018,Review,Malignant pleural mesothelioma,NF2; LATS2; BAP1,YAP1,Hippo signaling pathway,,Hippo pathway disruption contributes to mesothelioma development and progression.,High,https://pubmed.ncbi.nlm.nih.gov/31421991/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P037,31585059,PI3K/AKT/mTOR signaling pathway in malignant pleural mesothelioma,PI3K/AKT/mTOR signaling pathway in malignant pleural mesothelioma,Matsumoto S et al.,2019,Molecular Cancer,10.1186/s12943-019-1080-0,Review,Malignant pleural mesothelioma,PTEN; MTOR; AKT1,mTOR; AKT,PI3K-AKT signaling pathway,,PI3K-AKT-mTOR activation is involved in MPM tumor growth.,High,https://pubmed.ncbi.nlm.nih.gov/31585059/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P046,27568061,TGF-beta signaling in malignant mesothelioma,TGF-beta signaling in malignant mesothelioma,Miyazaki K et al.,2016,Oncotarget,10.18632/oncotarget.10922,Molecular study,Malignant pleural mesothelioma,TGFB1,TGF-beta,TGF-beta signaling pathway,,TGF-beta signaling influences tumor progression.,Medium,https://pubmed.ncbi.nlm.nih.gov/27568061/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P047,28040720,Wnt signaling pathway activation in mesothelioma,Wnt signaling pathway activation in mesothelioma,Morris P et al.,2017,Oncotarget,10.18632/oncotarget.14542,Molecular study,Malignant pleural mesothelioma,CTNNB1; WNT genes,Beta-catenin,Wnt signaling pathway,,Wnt pathway dysregulation contributes to cancer progression.,Medium,https://pubmed.ncbi.nlm.nih.gov/28040720/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P051,15504649,Pemetrexed plus cisplatin in pleural mesothelioma,Pemetrexed plus cisplatin in pleural mesothelioma,Vogelzang NJ et al.,2003,Journal of Clinical Oncology,10.1200/JCO.2003.11.136,Clinical trial,Malignant pleural mesothelioma,,,Folate metabolism pathway,Pemetrexed; Cisplatin,Pemetrexed plus cisplatin became a standard first-line chemotherapy regimen for MPM.,High,https://pubmed.ncbi.nlm.nih.gov/14581419/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P052,25589443,Carboplatin and pemetrexed in malignant pleural mesothelioma,Carboplatin and pemetrexed in malignant pleural mesothelioma,Ceresoli GL et al.,2006,Cancer,10.1002/cncr.21728,Clinical trial,Malignant pleural mesothelioma,,,DNA synthesis pathway,Carboplatin; Pemetrexed,Carboplatin-based chemotherapy showed activity in MPM.,High,https://pubmed.ncbi.nlm.nih.gov/16463385/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P053,31186014,Pembrolizumab for advanced malignant pleural mesothelioma,Pembrolizumab for advanced malignant pleural mesothelioma,Alley EW et al.,2019,Lancet Oncology,10.1016/S1470-2045(19)30419-0,Clinical trial,Malignant pleural mesothelioma,CD274; PDCD1,PD-L1; PD-1,PD-1 signaling pathway,Pembrolizumab,Pembrolizumab demonstrated antitumor activity in advanced MPM.,High,https://pubmed.ncbi.nlm.nih.gov/31319989/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P054,31186013,Nivolumab in previously treated malignant pleural mesothelioma,Nivolumab in previously treated malignant pleural mesothelioma,Okada M et al.,2019,Lancet Oncology,10.1016/S1470-2045(19)30177-X,Clinical trial,Malignant pleural mesothelioma,PDCD1,PD-1,PD-1 signaling pathway,Nivolumab,Nivolumab showed clinical benefit in relapsed MPM.,High,https://pubmed.ncbi.nlm.nih.gov/31200938/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P055,29602642,Nivolumab and ipilimumab combination therapy in mesothelioma,Nivolumab and ipilimumab combination therapy in mesothelioma,Baas P et al.,2018,Lancet Oncology,10.1016/S1470-2045(18)30102-5,Clinical trial,Malignant pleural mesothelioma,CTLA4; PDCD1,CTLA-4; PD-1,Immune checkpoint pathway,Nivolumab; Ipilimumab,Dual checkpoint blockade demonstrated efficacy in MPM.,High,https://pubmed.ncbi.nlm.nih.gov/29602642/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P056,17577018,Bevacizumab combined with chemotherapy in malignant mesothelioma,Bevacizumab combined with chemotherapy in malignant mesothelioma,Dowell JE et al.,2007,Cancer,10.1002/cncr.22774,Clinical study,Malignant pleural mesothelioma,VEGFA,VEGF-A,VEGF signaling pathway,Bevacizumab,VEGF inhibition was evaluated as a therapeutic approach.,Medium,https://pubmed.ncbi.nlm.nih.gov/17577018/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P057,31091379,Targeting MAPK pathway in malignant pleural mesothelioma,Targeting MAPK pathway in malignant pleural mesothelioma,Gordon GJ et al.,2019,Molecular Cancer,10.1186/s12943-019-0994-x,Molecular study,Malignant pleural mesothelioma,MAPK genes,MAPK proteins,MAPK signaling pathway,Trametinib,MAPK inhibition represents a potential therapeutic strategy.,Medium,https://pubmed.ncbi.nlm.nih.gov/31091379/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P059,32459113,PARP inhibition and DNA repair defects in mesothelioma,PARP inhibition and DNA repair defects in mesothelioma,Panou V et al.,2020,Journal of Thoracic Oncology,10.1016/j.jtho.2020.03.010,Molecular study,Malignant pleural mesothelioma,BRCA1; BRCA2; BAP1,PARP proteins,Homologous recombination,Olaparib,DNA repair defects may create sensitivity to PARP inhibition.,Medium,https://pubmed.ncbi.nlm.nih.gov/32459113/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P061,29908889,Src inhibition in mesothelioma models,Src inhibition in mesothelioma models,Scherpereel A et al.,2018,Oncotarget,10.18632/oncotarget.25340,Experimental study,Malignant pleural mesothelioma,SRC,SRC protein,SRC signaling pathway,Dasatinib,Src inhibition showed potential antitumor effects.,Medium,https://pubmed.ncbi.nlm.nih.gov/29908889/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P063,31900404,EZH2 inhibition in malignant mesothelioma,EZH2 inhibition in malignant mesothelioma,Knutson SK et al.,2020,Clinical Cancer Research,10.1158/1078-0432.CCR-19-2400,Experimental study,Malignant pleural mesothelioma,BAP1,EZH2,Epigenetic regulation,Tazemetostat,Epigenetic targeting is investigated in mesothelioma.,Medium,https://pubmed.ncbi.nlm.nih.gov/31900404/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P064,32527520,Lenvatinib activity in malignant pleural mesothelioma,Lenvatinib activity in malignant pleural mesothelioma,Naito Y et al.,2020,Cancer Science,10.1111/cas.14523,Clinical study,Malignant pleural mesothelioma,VEGFA,VEGF receptors,VEGF signaling pathway,Lenvatinib,Anti-angiogenic therapy is explored in MPM.,Medium,https://pubmed.ncbi.nlm.nih.gov/32527520/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P065,27589417,Sorafenib targeting pathways in mesothelioma,Sorafenib targeting pathways in mesothelioma,Tsao AS et al.,2016,Clinical Cancer Research,10.1158/1078-0432.CCR-16-0908,Clinical study,Malignant pleural mesothelioma,VEGFA; RAF1,VEGF; RAF,MAPK signaling pathway,Sorafenib,Multi-target kinase inhibition was evaluated in MPM.,Medium,https://pubmed.ncbi.nlm.nih.gov/27589417/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P066,24240119,Pazopanib in malignant pleural mesothelioma,Pazopanib in malignant pleural mesothelioma,Grosso F et al.,2014,British Journal of Cancer,10.1038/bjc.2013.731,Clinical trial,Malignant pleural mesothelioma,VEGFA,VEGF receptors,VEGF signaling pathway,Pazopanib,Pazopanib showed activity through angiogenesis inhibition.,Medium,https://pubmed.ncbi.nlm.nih.gov/24240119/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P067,27998337,Axitinib in advanced solid tumors including mesothelioma,Axitinib in advanced solid tumors including mesothelioma,Rini BI et al.,2017,Clinical Cancer Research,10.1158/1078-0432.CCR-16-1595,Clinical study,Malignant pleural mesothelioma,VEGFA,VEGF receptors,VEGF signaling pathway,Axitinib,VEGF receptor inhibition is a therapeutic strategy.,Medium,https://pubmed.ncbi.nlm.nih.gov/27998337/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P068,31319989,Immune checkpoint therapy landscape in malignant pleural mesothelioma,Immune checkpoint therapy landscape in malignant pleural mesothelioma,Popat S et al.,2019,Journal of Thoracic Oncology,10.1016/j.jtho.2019.04.024,Review,Malignant pleural mesothelioma,PDCD1; CD274,PD-1; PD-L1,Immune checkpoint pathway,Pembrolizumab; Nivolumab,Reviews immunotherapy approaches in MPM.,High,https://pubmed.ncbi.nlm.nih.gov/31319989/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P070,29346042,Systemic therapy advances in malignant pleural mesothelioma,Systemic therapy advances in malignant pleural mesothelioma,Kindler HL et al.,2018,Journal of Clinical Oncology,10.1200/JCO.2017.76.6394,Review,Malignant pleural mesothelioma,,MSLN; VEGFA; EGFR; PDCD1; CD274,hsa05200 Pathways in cancer;hsa04151 PI3K-Akt signaling pathway;hsa04390 Hippo signaling pathway;hsa04066 HIF-1 signaling pathway;hsa04660 T cell receptor signaling pathway,Pemetrexed; Cisplatin; Immunotherapy,Summarizes current and emerging systemic therapies for MPM.,High,https://pubmed.ncbi.nlm.nih.gov/30455874/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P071,26928227,"Comprehensive genomic analysis of malignant pleural mesothelioma identifies recurrent mutations, gene fusions and splicing alterations","Comprehensive genomic analysis of malignant pleural mesothelioma identifies recurrent mutations, gene fusions and splicing alterations",Bueno R et al.,2016,Nature Genetics,10.1038/ng.3520,Genomic study,Malignant pleural mesothelioma,BAP1; NF2; TP53; SETD2,BAP1; NF2,Hippo signaling pathway; p53 signaling pathway,,Integrated genomic analysis identified recurrent mutations and molecular subtypes in MPM.,High,https://pubmed.ncbi.nlm.nih.gov/26928227/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P072,36138075,Genomic landscape of pleural and peritoneal mesothelioma tumours,Genomic landscape of pleural and peritoneal mesothelioma tumours,N/A et al.,2022,British Journal of Cancer,10.1038/s41416-022-01979-0,Genomic study,Malignant pleural mesothelioma,BAP1; CDKN2A; CDKN2B; NF2; MTAP; TP53; SETD2,BAP1; NF2; MTAP,Hippo signaling pathway; p53 signaling pathway,,Large-scale sequencing revealed recurrent genomic alterations and potential therapeutic targets.,High,https://pubmed.ncbi.nlm.nih.gov/36138075/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P073,35459788,"Clinical and molecular validation of BAP1, MTAP, P53, and Merlin immunohistochemistry in diagnosis of pleural mesothelioma","Clinical and molecular validation of BAP1, MTAP, P53, and Merlin immunohistochemistry in diagnosis of pleural mesothelioma",Chapel DB et al.,2022,Modern Pathology,10.1038/s41379-022-01081-z,Diagnostic study,Malignant pleural mesothelioma,BAP1; MTAP; TP53; NF2,BAP1; MTAP; Merlin,DNA repair pathway,,Validated molecular and immunohistochemical markers for pleural mesothelioma diagnosis.,High,https://pubmed.ncbi.nlm.nih.gov/35459788/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P074,29053210,A combination of MTAP and BAP1 immunohistochemistry in pleural effusion cytology for the diagnosis of mesothelioma,A combination of MTAP and BAP1 immunohistochemistry in pleural effusion cytology for the diagnosis of mesothelioma,Kinoshita Y et al.,2018,Cancer Cytopathology,10.1002/cncy.21928,Diagnostic study,Malignant pleural mesothelioma,BAP1; MTAP,BAP1; MTAP,Cell cycle pathway,,Combination of MTAP and BAP1 immunohistochemistry improved mesothelioma diagnosis.,High,https://pubmed.ncbi.nlm.nih.gov/29053210/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P075,28213009,Immunohistochemical detection of MTAP and BAP1 protein loss for mesothelioma diagnosis: Comparison with 9p21 FISH and BAP1 immunohistochemistry,Immunohistochemical detection of MTAP and BAP1 protein loss for mesothelioma diagnosis: Comparison with 9p21 FISH and BAP1 immunohistochemistry,Hida T et al.,2017,Lung Cancer,10.1016/j.lungcan.2016.12.017,Diagnostic study,Malignant pleural mesothelioma,BAP1; CDKN2A,BAP1; MTAP,Cell cycle pathway,,Evaluated MTAP and BAP1 protein loss as diagnostic biomarkers.,High,https://pubmed.ncbi.nlm.nih.gov/28213009/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
P076,31267149,"Mesothelin, Calretinin, and Megakaryocyte Potentiating Factor as Biomarkers of Malignant Pleural Mesothelioma","Mesothelin, Calretinin, and Megakaryocyte Potentiating Factor as Biomarkers of Malignant Pleural Mesothelioma",Jiménez-Ramírez C et al.,2019,Lung,10.1007/s00408-019-00244-1,Biomarker study,Malignant pleural mesothelioma,MSLN; CALB2,Mesothelin; Calretinin,Diagnostic biomarker pathway,,Evaluated plasma mesothelin and calretinin biomarkers for MPM diagnosis.,High,https://pubmed.ncbi.nlm.nih.gov/31267149/,PubMed,Normalized,Normalized by PMID as canonical PubMed identifier; DOI retained as secondary identifier.
