Original_Name,Standard_Name,Gene_ID,Synonyms,Organism,Normalization_Status,Remark
"NRAS proto-oncogene, GTPase",NRAS,4893,N-RAS; ALPS4,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
"KRAS proto-oncogene, GTPase",KRAS,3845,K-RAS; KRAS1,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
"MYC proto-oncogene, bHLH transcription factor",MYC,4609,c-Myc; bHLHe39,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
erb-b2 receptor tyrosine kinase 2,ERBB2,2064,HER2; NEU,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
DNA topoisomerase I,TOP1,7150,TOPI,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
"MET proto-oncogene, receptor tyrosine kinase",MET,4233,HGFR; RCCP2,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
vascular endothelial growth factor A,VEGFA,7422,"VPF, VEGF, MVCD1, L-VEGF",Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
AT-rich interaction domain containing 1A,ARID1A,8289,"ELD, B120, CSS2, OSA1, P270, hELD, BM029, MRD14, hOSA1, BAF250, C1orf4, BAF250a, SMARCF1",Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
AT-rich interaction domain 2,ARID2,196528,"CSS6, p200, BAF200, ZIPZAP, SMARCF3",Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",SMARCA4,6597,"BRG1, CSS4, SNF2, SWI2, MRD16, RTPS2, BAF190, OTSC12, SNF2L4, SNF2LB, hSNF2b, BAF190A, SNF2-beta",Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b member 1",SMARCB1,6598,"RDT, CSS3, INI1, SNF5, Snr1, BAF47, INI-1, MRD15, RTPS1, Sfh1p, hSNFS, SNF5L1, SWNTS1, PPP1R144",Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
enhancer of zeste 2 polycomb repressive complex 2 subunit,EZH2,2146,"WVS, ENX1, KMT6, WVS2, ENX-1, EZH2b, KMT6A",Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
lysine methyltransferase 2D,KMT2D,8085,MLL2; MLL4,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
serine/threonine kinase 11,STK11,6794,"PJS, LKB1, hLKB1",Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
CD274 molecule,CD274,29126,"B7-H, B7H1, PDL1, PD-L1, ADMIO5, hPD-L1, PDCD1L1, PDCD1LG1",Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
programmed cell death 1,PDCD1,5133,"PD1, PD-1, CD279, SLEB2, hPD-1, hPD-l, hSLE1, ADMIO4, AIMTBS",Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
cytotoxic T-lymphocyte associated protein 4,CTLA4,1493,"CD, GSE, GRD4, ALPS5, CD152, CTLA-4, IDDM12, CELIAC3",Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
Janus kinase 1,JAK1,3716,"JTK3, AIIDE, JAK1A, JAK1B",Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
Janus kinase 2,JAK2,3717,JTK10,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
cyclin D1,CCND1,595,PRAD1; BCL1,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
cyclin dependent kinase 4,CDK4,1019,PSK-J3,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
cyclin dependent kinase 6,CDK6,1021,PLSTIRE,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
calbindin 2,CALB2,794,"CR, CAL2, CAB29",Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
mesothelin,MSLN,10232,MPF; SMRP,Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
WT1 transcription factor,WT1,7490,"GUD, AWT1, WAGR, WT-1, WT33, NPHS4, WIT-2",Homo sapiens,Normalized,Canonical NCBI Gene symbol retained; Gene ID validated from Phase 4 NCBI source.
