Original_Name,Standard_Name,Pathway_ID,Database,Category,RelatedGenes,RelatedProteins,Database_URL,Normalization_Status,Remark
DNA replication,DNA replication,hsa03030,KEGG,DNA maintenance,PCNA;MCM2,PCNA;MCM2,https://www.genome.jp/dbget-bin/www_bget?hsa03030,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Mismatch repair,Mismatch repair,hsa03430,KEGG,DNA repair,MSH2;MLH1,MSH2;MLH1,https://www.genome.jp/dbget-bin/www_bget?hsa03430,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Base excision repair,Base excision repair,hsa03410,KEGG,DNA repair,XRCC1;OGG1,XRCC1;OGG1,https://www.genome.jp/dbget-bin/www_bget?hsa03410,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Fanconi anemia pathway,Fanconi anemia pathway,hsa03460,KEGG,DNA repair,BRCA1;BRCA2;PALB2,BRCA1;BRCA2;PALB2,https://www.genome.jp/dbget-bin/www_bget?hsa03460,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
JAK-STAT signaling pathway,JAK-STAT signaling pathway,hsa04630,KEGG,Immune signaling,JAK1;STAT3,JAK1;STAT3,https://www.genome.jp/dbget-bin/www_bget?hsa04630,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
NF-kappa B signaling pathway,NF-kappa B signaling pathway,hsa04064,KEGG,Immune signaling,NFKB1;RELA,NFKB1;RELA,https://www.genome.jp/dbget-bin/www_bget?hsa04064,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
VEGF signaling pathway,VEGF signaling pathway,hsa04370,KEGG,Angiogenesis,VEGFA;KDR,VEGFA;KDR,https://www.genome.jp/dbget-bin/www_bget?hsa04370,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Focal adhesion,Focal adhesion,hsa04510,KEGG,Cell adhesion,ITGA;ITGB;PTK2,ITGA;ITGB;PTK2,https://www.genome.jp/dbget-bin/www_bget?hsa04510,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
ECM-receptor interaction,ECM-receptor interaction,hsa04512,KEGG,Cell adhesion,ITGB1;COL1A1,ITGB1;COL1A1,https://www.genome.jp/dbget-bin/www_bget?hsa04512,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Autophagy - animal,Autophagy - animal,hsa04140,KEGG,Cellular processes,BECN1;ATG5,BECN1;ATG5,https://www.genome.jp/dbget-bin/www_bget?hsa04140,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
mTOR signaling pathway,mTOR signaling pathway,hsa04150,KEGG,Signal transduction,MTOR;PTEN;AKT1,MTOR;PTEN;AKT1,https://www.genome.jp/dbget-bin/www_bget?hsa04150,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
AMPK signaling pathway,AMPK signaling pathway,hsa04152,KEGG,Metabolism,PRKAA1;MTOR,PRKAA1;MTOR,https://www.genome.jp/dbget-bin/www_bget?hsa04152,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Endocytosis,Endocytosis,hsa04144,KEGG,Cellular processes,EGFR;GRB2,EGFR;GRB2,https://www.genome.jp/dbget-bin/www_bget?hsa04144,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Cell adhesion molecules,Cell adhesion molecules,hsa04514,KEGG,Cell adhesion,CDH1;ITGB1,CDH1;ITGB1,https://www.genome.jp/dbget-bin/www_bget?hsa04514,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
TNF signaling pathway,TNF signaling pathway,hsa04668,KEGG,Immune signaling,TNF;NFKB1,TNF;NFKB1,https://www.genome.jp/dbget-bin/www_bget?hsa04668,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
IL-17 signaling pathway,IL-17 signaling pathway,hsa04657,KEGG,Immune signaling,IL17A;NFKB1,IL17A;NFKB1,https://www.genome.jp/dbget-bin/www_bget?hsa04657,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Toll-like receptor signaling pathway,Toll-like receptor signaling pathway,hsa04620,KEGG,Immune signaling,TLR4;MYD88,TLR4;MYD88,https://www.genome.jp/dbget-bin/www_bget?hsa04620,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
T cell receptor signaling pathway,T cell receptor signaling pathway,hsa04660,KEGG,Immune signaling,CD3D;CD247,CD3D;CD247,https://www.genome.jp/dbget-bin/www_bget?hsa04660,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Pathways in cancer,Pathways in cancer,hsa05200,KEGG,Cancer,TP53;PTEN;KRAS;EGFR,TP53;PTEN;KRAS;EGFR,https://www.genome.jp/dbget-bin/www_bget?hsa05200,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Chemical carcinogenesis - reactive oxygen species,Chemical carcinogenesis - reactive oxygen species,hsa05208,KEGG,Cancer,TP53;BAX,TP53;BAX,https://www.genome.jp/dbget-bin/www_bget?hsa05208,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Pancreatic cancer,Pancreatic cancer,hsa05212,KEGG,Cancer,KRAS;TP53,KRAS;TP53,https://www.genome.jp/dbget-bin/www_bget?hsa05212,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Glioma,Glioma,hsa05214,KEGG,Cancer,TP53;PTEN,TP53;PTEN,https://www.genome.jp/dbget-bin/www_bget?hsa05214,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Bladder cancer,Bladder cancer,hsa05219,KEGG,Cancer,TP53;RB1,TP53;RB1,https://www.genome.jp/dbget-bin/www_bget?hsa05219,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Non-small cell lung cancer,Non-small cell lung cancer,hsa05223,KEGG,Cancer,EGFR;TP53;KRAS,EGFR;TP53;KRAS,https://www.genome.jp/dbget-bin/www_bget?hsa05223,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Breast cancer,Breast cancer,hsa05224,KEGG,Cancer,TP53;BRCA1;PIK3CA,TP53;BRCA1;PIK3CA,https://www.genome.jp/dbget-bin/www_bget?hsa05224,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Central carbon metabolism in cancer,Central carbon metabolism in cancer,hsa05230,KEGG,Cancer metabolism,MYC;MTOR,MYC;MTOR,https://www.genome.jp/dbget-bin/www_bget?hsa05230,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
PD-L1 expression and PD-1 checkpoint pathway in cancer,PD-L1 expression and PD-1 checkpoint pathway in cancer,hsa05235,KEGG,Cancer immunity,CD274;PDCD1,CD274;PDCD1,https://www.genome.jp/dbget-bin/www_bget?hsa05235,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Transcriptional misregulation in cancer,Transcriptional misregulation in cancer,hsa05202,KEGG,Cancer,TP53;RUNX1,TP53;RUNX1,https://www.genome.jp/dbget-bin/www_bget?hsa05202,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Thyroid hormone signaling pathway,Thyroid hormone signaling pathway,hsa04919,KEGG,Signal transduction,THRA;THRB,THRA;THRB,https://www.genome.jp/dbget-bin/www_bget?hsa04919,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Estrogen signaling pathway,Estrogen signaling pathway,hsa04915,KEGG,Signal transduction,ESR1;MAPK1,ESR1;MAPK1,https://www.genome.jp/dbget-bin/www_bget?hsa04915,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Insulin signaling pathway,Insulin signaling pathway,hsa04910,KEGG,Metabolism,AKT1;MTOR,AKT1;MTOR,https://www.genome.jp/dbget-bin/www_bget?hsa04910,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
AGE-RAGE signaling pathway in diabetic complications,AGE-RAGE signaling pathway in diabetic complications,hsa04933,KEGG,Signal transduction,NFKB1;MAPK1,NFKB1;MAPK1,https://www.genome.jp/dbget-bin/www_bget?hsa04933,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Platinum drug resistance,Platinum drug resistance,hsa01524,KEGG,Drug resistance,TP53;BRCA1;BCL2,TP53;BRCA1;BCL2,https://www.genome.jp/dbget-bin/www_bget?hsa01524,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,hsa01521,KEGG,Drug resistance,EGFR;PIK3CA;PTEN,EGFR;PIK3CA;PTEN,https://www.genome.jp/dbget-bin/www_bget?hsa01521,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Endocrine resistance,Endocrine resistance,hsa01522,KEGG,Drug resistance,ESR1;PIK3CA,ESR1;PIK3CA,https://www.genome.jp/dbget-bin/www_bget?hsa01522,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Fluid shear stress and atherosclerosis,Fluid shear stress and atherosclerosis,hsa05418,KEGG,Stress response,MAPK1;NFKB1,MAPK1;NFKB1,https://www.genome.jp/dbget-bin/www_bget?hsa05418,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Ribosome,Ribosome,hsa03010,KEGG,Gene expression,RPL/RPS genes,Ribosomal proteins,https://www.genome.jp/dbget-bin/www_bget?hsa03010,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Chemokine signaling pathway,Chemokine signaling pathway,hsa04062,KEGG,Immune signaling,CXCL;CCR,Chemokine proteins,https://www.genome.jp/dbget-bin/www_bget?hsa04062,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
Human T-cell leukemia virus 1 infection,Human T-cell leukemia virus 1 infection,hsa05166,KEGG,Cancer/viral signaling,TP53;NFKB1,TP53;NFKB1,https://www.genome.jp/dbget-bin/www_bget?hsa05166,Normalized,Normalized by canonical pathway accession (Pathway_ID); source name retained.
